,eightd_has_available_keys,is_installed,is_renting,is_returning,last_reported,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,num_ebikes_available,day_of_week,last_updated_hour,time_interval,bike_uptime,dock_uptime,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
0,0.0,2980,2980,2980,4580410696788,30417,2581,83103,119,88,8481,31900,29800,0.9315436241610738,0.9942953020134229,,25.0,11.0,,72.0,,2018-11-25 10:23:35 AM,40.76727216,,-73.99392888,,W 52 St & 11 Ave,,W 52 St & 11 Ave,1.0,In Service,False,39.0
1,0.0,240,240,240,368898424425,1269,181,7901,9,5,480,4200,2400,0.75,1.0,,25.0,11.0,,72.0,,2018-11-25 10:23:35 AM,40.76727216,,-73.99392888,,W 52 St & 11 Ave,,W 52 St & 11 Ave,1.0,In Service,False,39.0
2,0.0,359,359,359,551797206140,5217,266,8518,0,49,720,2872,3590,1.0,0.9665738161559888,,25.0,11.0,,72.0,,2018-11-25 10:23:35 AM,40.76727216,,-73.99392888,,W 52 St & 11 Ave,,W 52 St & 11 Ave,1.0,In Service,False,39.0
3,0.0,720,720,720,1106679737857,8297,813,18864,106,12,3957,10453,7200,0.9194444444444444,0.9986111111111111,,25.0,11.0,,72.0,,2018-11-25 10:23:35 AM,40.76727216,,-73.99392888,,W 52 St & 11 Ave,,W 52 St & 11 Ave,1.0,In Service,False,39.0
4,0.0,2980,2980,2980,4580409450780,29124,4810,64405,1,67,8481,31900,29800,0.8070469798657718,0.9697986577181208,,22.0,10.0,,79.0,,2018-11-25 10:24:23 AM,40.71911552,,-74.00666661,,Franklin St & W Broadway,,Franklin St & W Broadway,1.0,In Service,False,33.0
5,0.0,240,240,240,368898449632,5552,474,1894,0,10,480,4200,2400,0.975,0.8791666666666667,,22.0,10.0,,79.0,,2018-11-25 10:24:23 AM,40.71911552,,-74.00666661,,Franklin St & W Broadway,,Franklin St & W Broadway,1.0,In Service,False,33.0
6,0.0,359,359,359,551797088943,1271,510,10065,1,0,720,2872,3590,0.7799442896935933,1.0,,22.0,10.0,,79.0,,2018-11-25 10:24:23 AM,40.71911552,,-74.00666661,,Franklin St & W Broadway,,Franklin St & W Broadway,1.0,In Service,False,33.0
7,0.0,720,720,720,1106679742724,4911,727,18122,0,3,3957,10453,7200,0.8791666666666667,1.0,,22.0,10.0,,79.0,,2018-11-25 10:24:23 AM,40.71911552,,-74.00666661,,Franklin St & W Broadway,,Franklin St & W Broadway,1.0,In Service,False,33.0
8,0.0,2980,1233,1233,4580405624636,46957,1439,32064,0,41,8481,31900,29800,0.9788590604026846,0.9097315436241611,,9.0,16.0,,82.0,,2018-11-25 10:21:21 AM,40.71117416,,-74.00016545,,St James Pl & Pearl St,,St James Pl & Pearl St,1.0,In Service,False,27.0
9,0.0,240,108,108,368898046681,3211,72,3197,0,0,480,4200,2400,0.9166666666666666,0.9541666666666667,,9.0,16.0,,82.0,,2018-11-25 10:21:21 AM,40.71117416,,-74.00016545,,St James Pl & Pearl St,,St James Pl & Pearl St,1.0,In Service,False,27.0
10,0.0,359,144,144,551796009186,6753,120,2820,0,2,720,2872,3590,1.0,0.7938718662952646,,9.0,16.0,,82.0,,2018-11-25 10:21:21 AM,40.71117416,,-74.00016545,,St James Pl & Pearl St,,St James Pl & Pearl St,1.0,In Service,False,27.0
11,0.0,720,285,285,1106678787520,11051,476,7913,0,7,3957,10453,7200,0.9388888888888889,0.9027777777777778,,9.0,16.0,,82.0,,2018-11-25 10:21:21 AM,40.71117416,,-74.00016545,,St James Pl & Pearl St,,St James Pl & Pearl St,1.0,In Service,False,27.0
12,0.0,2980,2980,2980,4580409529338,53039,6493,125228,0,68,8481,31900,29800,0.9892617449664429,1.0,,0.0,0.0,,83.0,,2018-10-09 09:05:09 AM,40.68382604,,-73.97632328,,Atlantic Ave & Fort Greene Pl,,Atlantic Ave & Fort Greene Pl,3.0,Not In Service,False,0.0
13,0.0,240,240,240,368898389028,5907,459,8514,0,3,480,4200,2400,1.0,1.0,,0.0,0.0,,83.0,,2018-10-09 09:05:09 AM,40.68382604,,-73.97632328,,Atlantic Ave & Fort Greene Pl,,Atlantic Ave & Fort Greene Pl,3.0,Not In Service,False,0.0
14,0.0,359,359,359,551796039956,4079,694,17485,0,2,720,2872,3590,0.9415041782729805,1.0,,0.0,0.0,,83.0,,2018-10-09 09:05:09 AM,40.68382604,,-73.97632328,,Atlantic Ave & Fort Greene Pl,,Atlantic Ave & Fort Greene Pl,3.0,Not In Service,False,0.0
15,0.0,720,720,720,1106678206413,15552,1603,27485,0,6,3957,10453,7200,1.0,1.0,,0.0,0.0,,83.0,,2018-10-09 09:05:09 AM,40.68382604,,-73.97632328,,Atlantic Ave & Fort Greene Pl,,Atlantic Ave & Fort Greene Pl,3.0,Not In Service,False,0.0
16,0.0,2980,2980,2980,4580399759307,27281,1812,27527,0,3,8481,31900,29800,1.0,0.9996644295302013,,6.0,11.0,,119.0,,2018-11-25 10:22:29 AM,40.69608941,,-73.97803415,,Park Ave & St Edwards St,,Park Ave & St Edwards St,1.0,In Service,False,19.0
17,0.0,240,240,240,368897466274,1834,144,2582,0,0,480,4200,2400,1.0,1.0,,6.0,11.0,,119.0,,2018-11-25 10:22:29 AM,40.69608941,,-73.97803415,,Park Ave & St Edwards St,,Park Ave & St Edwards St,1.0,In Service,False,19.0
18,0.0,359,359,359,551795852233,3547,234,3040,0,0,720,2872,3590,1.0,1.0,,6.0,11.0,,119.0,,2018-11-25 10:22:29 AM,40.69608941,,-73.97803415,,Park Ave & St Edwards St,,Park Ave & St Edwards St,1.0,In Service,False,19.0
19,0.0,720,720,720,1106674827541,6255,263,7162,0,0,3957,10453,7200,1.0,1.0,,6.0,11.0,,119.0,,2018-11-25 10:22:29 AM,40.69608941,,-73.97803415,,Park Ave & St Edwards St,,Park Ave & St Edwards St,1.0,In Service,False,19.0
20,0.0,2980,2972,2972,4580407512763,25320,3121,28178,1,103,8481,31900,29800,0.8848993288590604,0.9523489932885906,,5.0,13.0,,120.0,,2018-11-25 10:22:15 AM,40.68676793,,-73.95928168,,Lexington Ave & Classon Ave,,Lexington Ave & Classon Ave,1.0,In Service,False,19.0
21,0.0,240,240,240,368897913839,539,157,3864,0,1,480,4200,2400,0.7166666666666667,1.0,,5.0,13.0,,120.0,,2018-11-25 10:22:15 AM,40.68676793,,-73.95928168,,Lexington Ave & Classon Ave,,Lexington Ave & Classon Ave,1.0,In Service,False,19.0
22,0.0,359,359,359,551795348078,4957,324,1540,0,0,720,2872,3590,1.0,0.9136490250696379,,5.0,13.0,,120.0,,2018-11-25 10:22:15 AM,40.68676793,,-73.95928168,,Lexington Ave & Classon Ave,,Lexington Ave & Classon Ave,1.0,In Service,False,19.0
23,0.0,720,720,720,1106678659856,5140,854,7686,0,25,3957,10453,7200,0.8861111111111111,0.9888888888888889,,5.0,13.0,,120.0,,2018-11-25 10:22:15 AM,40.68676793,,-73.95928168,,Lexington Ave & Classon Ave,,Lexington Ave & Classon Ave,1.0,In Service,False,19.0
24,0.0,2980,2980,2980,4580411435308,39454,4592,48333,1,51,8481,31900,29800,0.9422818791946309,0.97751677852349,,18.0,12.0,,127.0,,2018-11-25 10:21:45 AM,40.73172428,,-74.00674436,,Barrow St & Hudson St,,Barrow St & Hudson St,1.0,In Service,False,31.0
25,0.0,240,240,240,368898492373,1991,316,5133,0,3,480,4200,2400,0.9541666666666667,1.0,,18.0,12.0,,127.0,,2018-11-25 10:21:45 AM,40.73172428,,-74.00674436,,Barrow St & Hudson St,,Barrow St & Hudson St,1.0,In Service,False,31.0
26,0.0,359,359,359,551796490580,5882,431,4816,0,0,720,2872,3590,0.9192200557103064,0.9860724233983287,,18.0,12.0,,127.0,,2018-11-25 10:21:45 AM,40.73172428,,-74.00674436,,Barrow St & Hudson St,,Barrow St & Hudson St,1.0,In Service,False,31.0
27,0.0,720,720,720,1106679727752,8247,966,13107,0,4,3957,10453,7200,0.9319444444444445,0.9958333333333333,,18.0,12.0,,127.0,,2018-11-25 10:21:45 AM,40.73172428,,-74.00674436,,Barrow St & Hudson St,,Barrow St & Hudson St,1.0,In Service,False,31.0
28,0.0,2980,2980,2980,4580411353452,37899,6480,45020,1,32,8481,31900,29800,0.8791946308724832,0.9073825503355705,,26.0,2.0,,128.0,,2018-11-25 10:24:34 AM,40.72710258,,-74.00297088,,MacDougal St & Prince St,,MacDougal St & Prince St,1.0,In Service,False,30.0
29,0.0,240,240,240,368898491014,5784,514,902,0,16,480,4200,2400,1.0,0.7458333333333333,,26.0,2.0,,128.0,,2018-11-25 10:24:34 AM,40.72710258,,-74.00297088,,MacDougal St & Prince St,,MacDougal St & Prince St,1.0,In Service,False,30.0
30,0.0,359,359,359,551796901830,1321,535,8914,0,0,720,2872,3590,0.6935933147632312,1.0,,26.0,2.0,,128.0,,2018-11-25 10:24:34 AM,40.72710258,,-74.00297088,,MacDougal St & Prince St,,MacDougal St & Prince St,1.0,In Service,False,30.0
31,0.0,720,720,720,1106679575185,10184,1375,10041,0,10,3957,10453,7200,0.9611111111111111,0.9472222222222222,,26.0,2.0,,128.0,,2018-11-25 10:24:34 AM,40.72710258,,-74.00297088,,MacDougal St & Prince St,,MacDougal St & Prince St,1.0,In Service,False,30.0
32,0.0,2980,2980,2980,4580409481619,21393,3234,46892,1,71,8481,31900,29800,0.8640939597315436,0.9832214765100671,,23.0,1.0,,143.0,,2018-11-25 10:23:38 AM,40.69239502,,-73.99337909,,Clinton St & Joralemon St,,Clinton St & Joralemon St,1.0,In Service,False,24.0
33,0.0,240,240,240,368898355929,3419,281,2060,0,6,480,4200,2400,1.0,0.9916666666666667,,23.0,1.0,,143.0,,2018-11-25 10:23:38 AM,40.69239502,,-73.99337909,,Clinton St & Joralemon St,,Clinton St & Joralemon St,1.0,In Service,False,24.0
34,0.0,359,359,359,551795906230,1192,303,7121,0,34,720,2872,3590,0.6852367688022284,1.0,,23.0,1.0,,143.0,,2018-11-25 10:23:38 AM,40.69239502,,-73.99337909,,Clinton St & Joralemon St,,Clinton St & Joralemon St,1.0,In Service,False,24.0
35,0.0,720,720,720,1106678890104,6151,934,10195,0,6,3957,10453,7200,0.9652777777777778,0.9958333333333333,,23.0,1.0,,143.0,,2018-11-25 10:23:38 AM,40.69239502,,-73.99337909,,Clinton St & Joralemon St,,Clinton St & Joralemon St,1.0,In Service,False,24.0
36,0.0,2980,2980,2980,4580405687117,27346,2440,26834,0,12,8481,31900,29800,0.987248322147651,0.9436241610738255,,12.0,6.0,,144.0,,2018-11-25 10:23:08 AM,40.69839895,,-73.98068914,,Nassau St & Navy St,,Nassau St & Navy St,1.0,In Service,False,19.0
37,0.0,240,240,240,368898165075,3055,163,1342,0,1,480,4200,2400,1.0,0.8125,,12.0,6.0,,144.0,,2018-11-25 10:23:08 AM,40.69839895,,-73.98068914,,Nassau St & Navy St,,Nassau St & Navy St,1.0,In Service,False,19.0
